ID,IP,Decimal,Hostname,ASN,ISP,Assignment,Country,State_Region,City,lat,lon
1,46.23.55.144,773273488,host-46-23-55-144.konet.cz,197296,United Networks SE,Likely Static IP,Czechia,Plzensky kraj,Kasejovice,49.4627,13.7406
2,78.134.7.14,1317406478,78-134-7-14.static.eolo.it,35612,NGI SpA,Likely Static IP,Italy,Lombardia,Settimo Milanese,45.4777,9.0557
3,62.183.115.17,1052209937,62.183.115.17,12389,OJSC Rostelecom,Likely Static IP,Russian Federation,Astrakhanskaya oblast',Astrakhan',46.3492,48.0407
4,14.201.212.106,248108138,14-201-212-106.tpgi.com.au,7545,TPG Internet Pty Ltd.,Likely Static IP,Australia,New South Wales,Ryde,-33.8168,151.0998
5,120.150.63.232,2023112680,120.150.63.232,1221,Telstra,Likely Static IP,Australia,Tasmania,Hobart,-42.8794,147.3294
6,23.25.20.101,387519589,23-25-20-101-static.hfc.comcastbusiness.net,7922,Comcast Cable Communications LLC,Likely Static IP,United States,Illinois,Waukegan,42.3636,-87.8447
7,82.220.99.178,1390175154,82.220.99.178,9044,BSE Software GmbH,Likely Static IP,Switzerland,Basel-Stadt,Basel,47.5586,7.574
8,203.80.119.218,3411048410,203080119218.ctinets.com,9269,Viva Eyewear HK Ltd - Kwai Tak Industrial Centre,Likely Static IP,Hong Kong,Hong Kong,Hong Kong,22.2855,114.1577
9,59.125.99.253,998073341,59-125-99-253.hinet-ip.hinet.net,3462,Chunghwa Telecom Co. Ltd.,Likely Static IP,Taiwan,Taipei,Taipei,25.0382,121.5636
10,101.167.171.167,1705487271,cpe-101-167-171-167.nsw.asp.telstra.net,1221,Telstra,Likely Static IP,Australia,New South Wales,Sydney,-33.8678,151.207
11,75.26.9.105,1259997545,75-26-9-105.lightspeed.rlghnc.sbcglobal.net,7018,AT&T Corp.,Likely Dynamic IP,United States,North Carolina,Raleigh,35.7777,-78.6435
12,104.181.200.38,1756743718,104-181-200-38.lightspeed.lnngmi.sbcglobal.net,7018,AT&T Corp.,Likely Static IP,United States,Michigan,Lansing,42.7329,-84.5555
13,93.91.133.191,1566279103,h191-ipv4-93-91-133.mynet.it,31263,Mynet S.r.l.,Likely Static IP,Italy,Lombardia,Mantova,45.1604,10.7976
14,74.57.103.69,1245275973,modemcable069.103-57-74.mc.videotron.ca,5769,Videotron Ltee,Likely Dynamic IP,Canada,Quebec,Montreal,45.5273,-73.6124
15,77.27.100.83,1293640787,83.100.27.77.dynamic.reverse-mundo-r.com,12334,R Cable Y Telecable Telecomunicaciones S.A.U.,Likely Static IP,Spain,Galicia,Santiago de Compostela,42.8806,-8.5466
16,123.113.156.0,2071043072,123.113.156.0,4808,China Unicom Beijing Province Network,Likely Static IP,China,Beijing,Beijing,39.9075,116.3971
17,123.125.121.203,2071820747,123.125.121.203,4808,China Unicom Beijing Province Network,Likely Static IP,China,Beijing,Beijing,39.9075,116.3971
